Country,Date,Confirmed
East Asia & Pacific,1970-01-01 00:00:00.000001994,1917553356.0
East Asia & Pacific,1970-01-01 00:00:00.000001993,1893594516.0
East Asia & Pacific,1970-01-01 00:00:00.000001992,1869453624.0
East Asia & Pacific,1970-01-01 00:00:00.000001991,1844603995.0
East Asia & Pacific,1970-01-01 00:00:00.000001990,1818247576.0
East Asia & Pacific,1970-01-01 00:00:00.000001989,1791156275.0
East Asia & Pacific,1970-01-01 00:00:00.000001988,1763555005.0
East Asia & Pacific,1970-01-01 00:00:00.000001987,1735427884.0
East Asia & Pacific,1970-01-01 00:00:00.000001986,1707611028.0
East Asia & Pacific,1970-01-01 00:00:00.000001985,1681267266.0
East Asia & Pacific,1970-01-01 00:00:00.000001984,1656258164.0
East Asia & Pacific,1970-01-01 00:00:00.000001983,1631735726.0
East Asia & Pacific,1970-01-01 00:00:00.000001982,1605925794.0
East Asia & Pacific,1970-01-01 00:00:00.000001981,1580048609.0
East Asia & Pacific,1970-01-01 00:00:00.000001980,1556403010.0
East Asia & Pacific,1970-01-01 00:00:00.000001979,1533514709.0
East Asia & Pacific,1970-01-01 00:00:00.000001978,1510060320.0
East Asia & Pacific,1970-01-01 00:00:00.000001977,1486953865.0
East Asia & Pacific,1970-01-01 00:00:00.000001976,1464087148.0
East Asia & Pacific,1970-01-01 00:00:00.000001975,1439944265.0
East Asia & Pacific,1970-01-01 00:00:00.000001974,1413718269.0
